unique_id,ds,AutoETS
A,2025-07-11 00:15:00,3265.1409395082947
A,2025-07-11 00:30:00,2178.686310641795
A,2025-07-11 00:45:00,1358.9528502596083
A,2025-07-11 01:00:00,1006.8008520758368
A,2025-07-11 01:15:00,822.7047683584232
A,2025-07-11 01:30:00,721.4941442657978
A,2025-07-11 01:45:00,640.4837991269997
A,2025-07-11 02:00:00,569.4003584010516
A,2025-07-11 02:15:00,526.7325665900378
A,2025-07-11 02:30:00,478.03754359092125
A,2025-07-11 02:45:00,461.2074645324667
A,2025-07-11 03:00:00,435.90170265306176
A,2025-07-11 03:15:00,414.6830916029098
A,2025-07-11 03:30:00,398.39950438155023
A,2025-07-11 03:45:00,390.8455746076619
A,2025-07-11 04:00:00,418.7940874699646
A,2025-07-11 04:15:00,432.2476065346281
A,2025-07-11 04:30:00,487.86216378503815
A,2025-07-11 04:45:00,569.5530219888743
A,2025-07-11 05:00:00,699.824072964312
A,2025-07-11 05:15:00,882.0741589506168
A,2025-07-11 05:30:00,1154.7315320841285
A,2025-07-11 05:45:00,1454.6264970564528
A,2025-07-11 06:00:00,1816.2396187390432
A,2025-07-11 06:15:00,2237.6204092774638
A,2025-07-11 06:30:00,2717.628564751027
A,2025-07-11 06:45:00,3225.798010616819
A,2025-07-11 07:00:00,3876.591805927658
A,2025-07-11 07:15:00,4410.5268251138605
A,2025-07-11 07:30:00,5160.677557334422
A,2025-07-11 07:45:00,5686.097775915746
A,2025-07-11 08:00:00,6335.556116225728
A,2025-07-11 08:15:00,6832.17102808855
A,2025-07-11 08:30:00,7129.426440948325
A,2025-07-11 08:45:00,7382.270195641226
A,2025-07-11 09:00:00,7883.421546303223
A,2025-07-11 09:15:00,9052.008328655358
A,2025-07-11 09:30:00,9520.326301264531
A,2025-07-11 09:45:00,9634.230309059296
A,2025-07-11 10:00:00,10024.690068493719
A,2025-07-11 10:15:00,9757.85136970156
A,2025-07-11 10:30:00,9627.116305172081
A,2025-07-11 10:45:00,9488.856772746638
A,2025-07-11 11:00:00,9642.737516148143
A,2025-07-11 11:15:00,9404.68993233567
A,2025-07-11 11:30:00,9174.855658034903
A,2025-07-11 11:45:00,9068.114336167204
A,2025-07-11 12:00:00,9044.832898087941
A,2025-07-11 12:15:00,8897.876201033398
A,2025-07-11 12:30:00,8735.837869296836
A,2025-07-11 12:45:00,8842.1921255988
A,2025-07-11 13:00:00,8986.894204769362
A,2025-07-11 13:15:00,8897.24565358374
A,2025-07-11 13:30:00,8974.265778773
A,2025-07-11 13:45:00,9067.599124535349
A,2025-07-11 14:00:00,9285.6345219903
A,2025-07-11 14:15:00,9271.970535970628
A,2025-07-11 14:30:00,9192.806532748515
A,2025-07-11 14:45:00,9011.378818613272
A,2025-07-11 15:00:00,9053.9919933794
A,2025-07-11 15:15:00,9187.298886092807
A,2025-07-11 15:30:00,9061.510365714053
A,2025-07-11 15:45:00,9014.633079009309
A,2025-07-11 16:00:00,9150.548699513778
A,2025-07-11 16:15:00,9346.467733671792
A,2025-07-11 16:30:00,9482.723284710764
A,2025-07-11 16:45:00,9655.594805689307
A,2025-07-11 17:00:00,10304.171618823055
A,2025-07-11 17:15:00,10460.733997482348
A,2025-07-11 17:30:00,10395.87074053033
A,2025-07-11 17:45:00,10724.024575076184
A,2025-07-11 18:00:00,11119.503915547451
A,2025-07-11 18:15:00,11455.104820280445
A,2025-07-11 18:30:00,11877.38984138394
A,2025-07-11 18:45:00,12287.621737682135
A,2025-07-11 19:00:00,12865.070019389666
A,2025-07-11 19:15:00,13253.0701466761
A,2025-07-11 19:30:00,13576.988836750903
A,2025-07-11 19:45:00,13873.555870441656
A,2025-07-11 20:00:00,14213.254341264324
A,2025-07-11 20:15:00,14904.122107634978
A,2025-07-11 20:30:00,15131.872975243306
A,2025-07-11 20:45:00,15342.223577321573
A,2025-07-11 21:00:00,15117.135623613962
A,2025-07-11 21:15:00,14881.512532851868
A,2025-07-11 21:30:00,14311.1297904831
A,2025-07-11 21:45:00,13845.348638223213
A,2025-07-11 22:00:00,13545.396694220846
A,2025-07-11 22:15:00,12854.699443452719
A,2025-07-11 22:30:00,12117.08090587397
A,2025-07-11 22:45:00,10935.41806936999
A,2025-07-11 23:00:00,9390.907960160293
A,2025-07-11 23:15:00,7796.923252301365
A,2025-07-11 23:30:00,6331.86364464284
A,2025-07-11 23:45:00,4871.354446822961
A,2025-07-12 00:00:00,4916.283395034175
A,2025-07-12 00:15:00,3258.955889057128
A,2025-07-12 00:30:00,2174.657326257662
A,2025-07-12 00:45:00,1356.4994714994893
A,2025-07-12 01:00:00,1005.0264056472967
A,2025-07-12 01:15:00,821.2892281294271
A,2025-07-12 01:30:00,720.2822361883119
A,2025-07-12 01:45:00,639.4335230468536
A,2025-07-12 02:00:00,568.48882767605
A,2025-07-12 02:15:00,525.9093733504701
A,2025-07-12 02:30:00,477.30820115554747
A,2025-07-12 02:45:00,460.5205171631638
A,2025-07-12 03:00:00,435.26787209204474
A,2025-07-12 03:15:00,414.09444013971313
A,2025-07-12 03:30:00,397.84740431276583
A,2025-07-12 03:45:00,390.31681149796106
A,2025-07-12 04:00:00,418.2409752443619
A,2025-07-12 04:15:00,431.69029001742564
A,2025-07-12 04:30:00,487.24808669668766
A,2025-07-12 04:45:00,568.8531538912611
A,2025-07-12 05:00:00,698.9845607089974
A,2025-07-12 05:15:00,881.0411615293408
A,2025-07-12 05:30:00,1153.4113586438002
A,2025-07-12 05:45:00,1453.0029789201594
A,2025-07-12 06:00:00,1814.2606709377742
A,2025-07-12 06:15:00,2235.2402664698243
A,2025-07-12 06:30:00,2714.8065325013213
A,2025-07-12 06:45:00,3222.5278868809114
A,2025-07-12 07:00:00,3872.7553332946027
A,2025-07-12 07:15:00,4406.265669550333
A,2025-07-12 07:30:00,5155.810141893478
A,2025-07-12 07:45:00,5680.862245772771
A,2025-07-12 08:00:00,6329.861222584836
A,2025-07-12 08:15:00,6826.175685200431
A,2025-07-12 08:30:00,7123.318930751145
A,2025-07-12 08:45:00,7376.096378697179
A,2025-07-12 09:00:00,7876.98529993101
A,2025-07-12 09:15:00,9044.793652353334
A,2025-07-12 09:30:00,9512.918699357791
A,2025-07-12 09:45:00,9626.912237992281
A,2025-07-12 10:00:00,10017.256381762982
A,2025-07-12 10:15:00,9750.787525561847
A,2025-07-12 10:30:00,9620.312738488474
A,2025-07-12 10:45:00,9482.310294223385
A,2025-07-12 11:00:00,9636.242988899396
